,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円)
1,2,8,16,マイネルキッツ,牡7,58,松岡正海,3:15.8,3/4,**,2-2-2-1,34.2,8.5,4,506(-4),,,,[東] 国枝栄,サラブレッドクラブ・ラフィアン,5412.8
2,3,2,4,メイショウドンタク,牡4,58,武幸四郎,3:16.6,5,**,6-6-3-2,34.9,113.8,16,488(-6),,,,[西] 本田優,松本好雄,3356.4
3,4,4,7,ナムラクレセント,牡5,58,小牧太,3:16.8,1.1/2,**,8-9-10-7,34.6,14.0,7,496(+10),,,,[西] 福島信晴,奈村信重,2000.0
4,5,1,2,エアジパング,セ7,58,岩田康誠,3:17.2,2.1/2,**,7-7-8-7,35.0,68.7,12,440(-2),,,,[西] 藤原英昭,ラッキーフィールド,1320.0
5,6,2,3,フォゲッタブル,牡4,58,内田博幸,3:17.3,1/2,**,11-10-8-7,35.1,2.6,1,484(0),,,,[西] 池江泰郎,金子真人ホールディングス,
6,7,7,13,ジャミール,牡4,58,安藤勝己,3:17.4,3/4,**,18-18-18-16,34.6,6.9,3,452(0),,,,[西] 松元茂樹,吉田照哉,
7,8,3,5,フィールドベアー,牡7,58,秋山真一,3:17.5,1/2,**,3-3-3-4,35.7,170.9,17,506(+4),,,,[西] 野村彰彦,地田勝三,
8,9,3,6,トウカイトリック,牡8,58,藤田伸二,3:17.6,1/2,**,14-13-11-12,35.2,13.8,6,450(-2),,,,[西] 野中賢二,内村正則,
9,10,7,14,メイショウベルーガ,牝5,56,福永祐一,3:17.7,1/2,**,12-12-11-11,35.4,13.3,5,498(+2),,,,[西] 池添兼雄,松本好雄,
10,11,5,10,テイエムアンコール,牡6,58,浜中俊,3:18.1,クビ+1.3/4,**,5-5-6-5,36.2,18.3,8,458(-4),,,,[西] 柴田政見,竹園正繼,
11,12,5,9,メインストリーム,牡5,58,川田将雅,3:18.5,2.1/2,**,15-15-15-14,36.0,76.8,13,488(+4),,,,[西] 角居勝彦,臼田浩義,
12,13,8,17,ゴールデンメイン,セ10,58,太宰啓介,3:18.6,1/2,**,3-3-3-10,36.6,177.4,18,476(+8),,,,[西] 新川恵,ヒダカ・ブリーダーズ・ユニオン,
13,14,6,11,ミッキーペトラ,牡4,58,池添謙一,3:18.8,1.1/4,**,1-1-1-2,37.3,61.5,11,498(0),,,,[西] 森秀行,野田みづき,
14,15,8,18,ベルウッドローツェ,牡4,58,的場勇人,3:19.1,2,**,15-16-17-14,36.5,100.8,14,476(-2),,,,[東] 小島茂之,加藤貴子,
15,16,1,1,カネトシソレイユ,牡6,58,幸英明,3:20.0,5,**,10-10-11-16,37.5,113.8,15,506(+6),,,,[西] 大橋勇樹,兼松利男,
16,17,7,15,エアシェイディ,牡9,58,戸崎圭太,3:20.3,2,**,15-16-15-18,37.7,20.6,9,482(-14),,,,[東] 伊藤正徳,ラッキーフィールド,
17,18(降),4,8,トーセンクラウン,牡6,58,江田照男,3:17.8,,**,12-13-14-12,35.5,24.0,10,466(-6),,,,[東] 菅原泰夫,島川隆哉,
