,着順,枠番,馬番,馬名,性齢,斤量,騎手,上り,単勝,人気,馬体重,調教師,馬主,rank_0,rank_1,rank_2,rank_3,second,first_half,weight,diff
207,15,8,16,ジャミール,牡4,57,福永祐一,35.1,91.8,15.0,456(+4),[西] 松元茂樹,吉田照哉,9,9,9,10,154.0,118.9,456,4
209,1,6,9,オルフェーヴル,牡3,55,池添謙一,33.3,2.2,1.0,462(-4),[西] 池江泰寿,サンデーレーシング,11,10,8,5,156.0,122.7,462,-4
210,2,4,5,エイシンフラッシュ,牡4,57,ルメール,33.6,26.8,7.0,488(-4),[西] 藤原英昭,平井豊光,5,5,6,5,156.1,122.5,488,-4
211,3,5,7,トゥザグローリー,牡4,57,福永祐一,33.3,47.1,9.0,536(+12),[西] 池江泰寿,キャロットファーム,8,7,10,8,156.1,122.8,536,12
212,4,8,14,ルーラーシップ,牡4,57,メンディ,33.2,52.9,11.0,504(+6),[西] 角居勝彦,サンデーレーシング,11,10,11,11,156.2,122.99999999999999,504,6
213,5,6,10,トーセンジョーダン,牡5,57,ウィリア,33.9,9.2,3.0,482(+4),[西] 池江泰寿,島川隆哉,3,3,3,3,156.3,122.4,482,4
214,6,3,3,ヒルノダムール,牡4,57,藤田伸二,33.7,30.4,8.0,466(0),[西] 昆貢,蛭川正文,6,7,8,8,156.4,122.7,466,0
215,7,1,1,ブエナビスタ,牝5,55,岩田康誠,34.1,3.2,2.0,470(+6),[西] 松田博資,サンデーレーシング,4,3,3,3,156.5,122.4,470,6
216,8,2,2,ヴィクトワールピサ,牡4,57,Ｍデムー,34.3,10.2,4.0,520(+12),[西] 角居勝彦,市川義美,2,2,2,2,156.5,122.2,520,12
217,9,8,13,レッドデイヴィス,セ3,55,武豊,34.1,18.2,6.0,484(+2),[西] 音無秀孝,東京ホースレーシング,6,5,3,5,156.5,122.4,484,2
218,10,7,12,アーネストリー,牡6,57,佐藤哲三,34.6,13.6,5.0,534(+4),[西] 佐々木晶,前田幸治,1,1,1,1,156.6,122.0,534,4
219,11,7,11,ジャガーメイル,牡7,57,四位洋文,34.2,77.1,12.0,484(0),[東] 堀宣行,吉田和美,9,7,6,8,156.8,122.60000000000001,484,0
220,12,5,8,ローズキングダム,牡4,57,後藤浩輝,34.0,51.1,10.0,454(-8),[西] 橋口弘次,サンデーレーシング,11,13,13,13,157.1,123.1,454,-8
221,13,4,6,キングトップガン,牡8,57,柴田善臣,34.5,132.9,13.0,506(-2),[西] 鮫島一歩,池田豊治,9,10,11,12,157.4,122.9,506,-2
223,1,7,13,ゴールドシップ,牡3,55,内田博幸,34.9,2.7,1.0,506(+6),[西] 須貝尚介,小林英一,16,15,14,10,151.9,117.0,506,6
224,2,3,6,オーシャンブルー,牡4,57,ルメール,35.3,27.6,10.0,438(+2),[西] 池江泰寿,青芝商事,10,7,10,10,152.1,116.8,438,2
225,3,5,9,ルーラーシップ,牡5,57,ウィリア,35.2,3.7,2.0,512(+6),[西] 角居勝彦,サンデーレーシング,13,13,14,12,152.2,116.99999999999999,512,6
226,4,1,2,エイシンフラッシュ,牡5,57,三浦皇成,35.8,10.0,3.0,488(0),[西] 藤原英昭,平井豊光,7,7,7,5,152.4,116.60000000000001,488,0
227,5,2,3,スカイディグニティ,牡3,55,スミヨン,36.0,16.7,7.0,480(-6),[西] 友道康夫,Ｇ１レーシング,5,5,6,5,152.5,116.5,480,-6
228,6,5,10,ダークシャドウ,牡5,57,ムーア,35.9,10.8,4.0,514(+2),[東] 堀宣行,飯塚知一,7,7,7,5,152.5,116.6,514,2
229,7,8,15,ナカヤマナイト,牡4,57,柴田善臣,36.2,13.9,5.0,490(+6),[東] 二ノ宮敬,和泉信一,12,12,10,9,153.0,116.8,490,6
230,8,8,16,ルルーシュ,牡4,57,横山典弘,37.1,15.6,6.0,514(+12),[東] 藤沢和雄,山本英俊,3,3,3,2,153.4,116.30000000000001,514,12
231,9,7,14,ビートブラック,牡5,57,石橋脩,37.4,23.6,8.0,522(+8),[西] 中村均,前田幸治,2,2,2,1,153.4,116.0,522,8
232,10,4,7,ダイワファルコン,牡5,57,北村宏司,37.1,38.4,12.0,514(+8),[東] 上原博之,大城敬三,5,5,3,2,153.5,116.4,514,8
