,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円)
3,4,5,9,マイネルエルフ,牡3,57,松岡正海,1:33.1,クビ,**,5-5,33.9,60.4,11,494(0),,,,[東] 鹿戸雄一,サラブレッドクラブ・ラフィアン,1400.0
4,5,8,18,フィフスペトル,牡3,57,安藤勝己,1:33.3,1.1/4,**,5-5,34.2,8.1,4,452(+4),,,,[東] 加藤征弘,キャロットファーム,920.0
5,6,4,7,ワンカラット,牝3,55,藤岡佑介,1:33.3,ハナ,**,16-17,33.5,14.7,6,486(0),,,,[西] 藤岡健一,青山洋一,
6,7,7,14,タイガーストーン,牡3,57,蛯名正義,1:33.3,クビ,**,9-8,34.0,89.1,15,490(0),,,,[西] 坂口正則,後藤繁樹,
7,8,3,6,アイアンルック,牡3,57,小牧太,1:33.4,クビ+クビ,**,13-11,33.8,3.7,2,534(+6),,,,[西] 橋口弘次,池上一馬,
8,9,8,16,ブレイクランアウト,牡3,57,武豊,1:33.4,ハナ,**,11-8,34.0,3.3,1,442(0),,,,[東] 戸田博文,キャロットファーム,
9,10,1,2,ミッキーパンプキン,牡3,57,岩田康誠,1:33.5,1/2,**,16-16,33.8,23.9,8,444(+4),,,,[西] 清水出美,野田みづき,
10,11,6,12,ラインブラッド,牡3,57,福永祐一,1:33.6,クビ,**,8-8,34.3,28.8,9,490(0),,,,[西] 領家政蔵,大澤繁昌,
11,12,1,1,ゲットフルマークス,牡3,57,田中勝春,1:33.7,3/4,**,1-1,36.5,73.2,14,480(-4),,,,[東] 岩戸孝樹,ジェイアール,
12,13,3,5,ツクバホクトオー,牡3,57,吉田隼人,1:33.8,クビ,**,9-11,34.3,118.0,18,464(0),,,,[東] 尾形充弘,荻原昭二,
13,14,7,15,ティアップゴールド,牡3,57,池添謙一,1:34.0,1.1/2,**,15-11,34.5,22.2,7,466(0),,,,[西] 西浦勝一,田中昇,
14,15,4,8,スガノメダリスト,牡3,57,勝浦正樹,1:34.0,アタマ,**,5-5,34.9,64.4,12,458(-2),,,,[東] 粕谷昌央,菅原光博,
15,16,8,17,アドバンスヘイロー,牡3,57,柴田善臣,1:34.2,1.1/4,**,16-17,34.4,108.8,17,438(-2),,,,[東] 河野通文,西川隆士,
