,着順,枠番,馬番,馬名,性齢,斤量,騎手,上り,単勝,人気,調教師,馬主,rank_0,rank_1,second,first_half,weight,diff
169,8,7,13,ナリタシークレット,牝5,51.0,川田将雅,34.7,19.1,8.0,[西] 木原一良,オースミ,2,2,68.3,33.599999999999994,472,4
170,9,4,8,エイシンボーダン,牡6,54.0,ルメール,33.8,94.0,13.0,[西] 鮫島一歩,平井豊光,13,13,68.4,34.60000000000001,494,2
171,10,5,10,コスモフォーチュン,牝5,53.0,角田晃一,34.7,48.6,12.0,[西] 宮徹,ビッグレッドファーム,3,4,68.6,33.89999999999999,472,-10
172,11,4,7,スピニングノアール,牡6,56.0,上村洋行,34.1,5.0,2.0,[西] 長浜博之,畑佐博,15,13,68.7,34.6,484,8
173,12,6,11,マルカキセキ,牡6,57.0,福永祐一,34.3,34.3,11.0,[西] 瀬戸口勉,河長産業,9,10,68.7,34.400000000000006,536,8
174,13,1,1,リキアイタイカン,牡9,55.0,和田竜二,34.4,142.5,15.0,[東] 阿部新生,高山幸雄,9,10,68.8,34.4,506,14
175,14,3,6,コパノフウジン,牡5,56.0,鮫島良太,34.7,22.4,9.0,[西] 宮徹,小林祥晃,6,6,68.8,34.099999999999994,474,16
176,15,3,5,タガノバスティーユ,牡4,54.0,池添謙一,34.1,31.7,10.0,[西] 池添兼雄,八木良司,16,16,69.2,35.1,518,0
177,16,8,16,カフェボストニアン,牡8,54.0,四位洋文,35.3,109.1,14.0,[東] 松山康久,西川光一,9,10,69.6,34.3,526,-14
178,1,1,1,ファイングレイン,牡5,56.0,幸英明,34.0,6.5,3.0,[西] 長浜博之,社台レースホース,15,12,69.1,35.099999999999994,500,6
179,2,7,13,コパノフウジン,牡6,54.0,藤岡佑介,34.7,65.4,11.0,[西] 宮徹,小林祥晃,8,9,69.3,34.599999999999994,476,4
180,3,8,15,ステキシンスケクン,牡5,56.0,岩田康誠,34.6,11.2,5.0,[西] 森秀行,榮義則,10,10,69.3,34.699999999999996,470,2
181,4,3,5,リキアイタイカン,牡10,53.0,池添謙一,34.4,68.1,12.0,[東] 阿部新生,高山幸雄,13,15,69.5,35.1,510,8
182,5,7,14,サイキョウワールド,牡6,54.0,四位洋文,34.3,23.6,9.0,[西] 坂口正大,奥本賢一郎,15,15,69.5,35.2,472,4
183,6,5,10,プリンセスルシータ,牝6,52.0,川田将雅,35.2,17.8,8.0,[西] 松田国英,吉田照哉,7,7,69.6,34.39999999999999,456,2
184,7,8,16,テイエムアクション,牡7,55.0,橋本美純,34.9,118.1,14.0,[西] 岩元市三,竹園正繼,10,10,69.6,34.699999999999996,520,24
185,8,4,8,マルカキセキ,牡7,56.0,福永祐一,34.8,81.8,13.0,[西] 増本豊,河長産業,13,12,69.7,34.900000000000006,512,-2
186,9,3,6,ペールギュント,牡6,57.5,ルメール,35.6,9.1,4.0,[西] 橋口弘次,サンデーレーシング,4,3,69.8,34.199999999999996,526,0
187,10,6,12,アストンマーチャン,牝4,56.0,武豊,36.3,2.5,1.0,[西] 石坂正,戸佐眞弓,1,1,70.0,33.7,484,2
188,11,2,4,クールシャローン,牝4,53.0,長谷川浩,35.9,11.6,6.0,[西] 目野哲也,川上哲司,4,3,70.1,34.199999999999996,492,-4
189,12,4,7,テイエムノブシオー,牡5,54.0,武幸四郎,36.3,16.7,7.0,[西] 新川恵,竹園正繼,2,2,70.2,33.900000000000006,516,0
190,13,1,2,アグネスラズベリ,牝7,54.0,角田晃一,35.4,24.6,10.0,[西] 西浦勝一,渡辺孝男,10,12,70.3,34.9,518,12
191,14,6,11,ダイワメンフィス,牡7,53.0,秋山真一,36.2,154.2,15.0,[東] 増沢末夫,大城敬三,3,3,70.3,34.099999999999994,496,-10
192,15,5,9,アイルラヴァゲイン,牡6,57.0,松岡正海,36.1,6.2,2.0,[東] 手塚貴久,齊藤四方司,4,3,70.3,34.199999999999996,514,-4
193,16,2,3,ロイヤルキャンサー,牡10,51.0,田中克典,36.0,202.5,16.0,[西] 森秀行,井澤健,8,7,70.4,34.400000000000006,480,32
